Year,Below Secondary,Secondary,Post-Secondary (Non-Tertiary),Diploma & Professional Qualification,University
2022 ,14.3,12.8,14.1,16.6,15.7
2021 ,16.4,14.3,16.2,16.2,16.6
2020 ,13.7,15.2,16.4,16.7,15.5
2019 ,14.3,12.3,15.1,15.5,13.4
2018 ,13.5,12.4,15.4,14.5,14.6
2017 ,14.1,13.7,15.1,13.9,13.7
2016 ,13.2,13.1,13,15,13.9
2015 ,15.5,13.2,15.3,13.9,15
2014 ,15.6,13.6,14.3,15,13.3
2013 ,14.4,12.6,13.8,14.2,13.2
